0.0029010929867827	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  kefirresidentii
0.002525951652285	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  kroppenstedtii
0.0024759328076853	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  striatum
0.0023758951184858	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  renale
0.0023008668515863	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  aurimucosum
0.0023008668515863	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  xerosis
0.0020507726285878	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  riegelii
0.0019507349393884	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  kutscheri
0.0019007160947887	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  ureicelerivorans
0.0018006784055893	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  jeikeium
0.0017756689832894	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  freneyi
0.0017756689832894	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  pseudodiphtheriticum
0.0017506595609896	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  frankenforstense
0.0016506218717902	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  coyleae
0.0016506218717902	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  urealyticum
0.0016256124494903	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  variabile
